wavelength (nm),c_extinction,c_scattering,kappa,g,P_max,Thetmax
17100.0,2.9148,1.0275,1.2218e+16,0.22256,0.98856,94.0
17200.0,2.8267,1.0057,1.1848e+16,0.22009,0.98901,94.0
17300.0,2.7368,0.98202,1.1471e+16,0.21755,0.98949,94.0
17400.0,2.6473,0.95811,1.1096e+16,0.21502,0.98996,94.0
17500.0,2.5584,0.934,1.0724e+16,0.21249,0.99041,94.0
17600.0,2.4736,0.91066,1.0368e+16,0.21,0.99084,94.0
17700.0,2.3918,0.88785,1.0026e+16,0.20753,0.99124,94.0
17800.0,2.3129,0.86554,9694600000000000.0,0.2051,0.99162,94.0
17900.0,2.235,0.84411,9368200000000000.0,0.2027,0.99198,94.0
18000.0,2.1607,0.82329,9057000000000000.0,0.20035,0.99231,94.0
18100.0,2.0919,0.80272,8768600000000000.0,0.19801,0.99263,94.0
18200.0,2.0296,0.78226,8507500000000000.0,0.1957,0.99293,94.0
18300.0,1.9798,0.76117,8298700000000000.0,0.19337,0.99324,94.0
18400.0,1.9345,0.74046,8108800000000000.0,0.19107,0.99352,94.0
18500.0,1.8937,0.72012,7937500000000000.0,0.1888,0.99384,93.0
18600.0,1.8503,0.70013,7755700000000000.0,0.18656,0.99417,93.0
18700.0,1.8082,0.68105,7579500000000000.0,0.18437,0.99448,93.0
18800.0,1.7719,0.66299,7427100000000000.0,0.18224,0.99475,93.0
18900.0,1.742,0.64591,7301700000000000.0,0.18016,0.99501,93.0
19000.0,1.7332,0.63038,7264900000000000.0,0.17817,0.99523,93.0
19100.0,1.7262,0.6162,7235600000000000.0,0.17626,0.99543,93.0
19200.0,1.7209,0.6033,7213500000000000.0,0.17441,0.99561,93.0
19300.0,1.7132,0.59206,7181200000000000.0,0.17265,0.99576,93.0
19400.0,1.6962,0.58229,7109900000000000.0,0.17097,0.99588,93.0
19500.0,1.6739,0.57311,7016500000000000.0,0.16933,0.996,93.0
19600.0,1.6464,0.56451,6901300000000000.0,0.16772,0.9961,93.0
19700.0,1.6109,0.55611,6752200000000000.0,0.16614,0.9962,93.0
19800.0,1.5694,0.54743,6578400000000000.0,0.16455,0.9963,93.0
19900.0,1.5235,0.53853,6386100000000000.0,0.16297,0.9964,93.0
20000.0,1.4733,0.52943,6175700000000000.0,0.16138,0.9965,93.0
20100.0,1.418,0.51951,5943900000000000.0,0.15977,0.99661,93.0
20200.0,1.3622,0.50917,5709700000000000.0,0.15815,0.99671,93.0
20300.0,1.306,0.4985,5474400000000000.0,0.15652,0.99681,93.0
20400.0,1.2498,0.48749,5238600000000000.0,0.15488,0.99692,93.0
20500.0,1.1975,0.476,5019400000000000.0,0.15323,0.99702,93.0
20600.0,1.1482,0.46448,4812800000000000.0,0.15159,0.99712,93.0
20700.0,1.1019,0.45295,4618600000000000.0,0.14996,0.99721,93.0
